alpha,seed,policy,budget,k,eta,n_steps,accuracy,acc_last_third,acc_no_dup,acc_dup_only,precision,hit_at_k,hit_at_k_no_dup,exact_dup_rate,n_retrieved_mean,memory_occupancy_max
0.5,2,oracle,192,8,0.0,600,0.945,1.0,0.9415929203539823,1.0,1.0,0.91,0.904424778761062,0.058333333333333334,3.4583333333333335,192
0.5,3,nomemory,192,8,0.0,600,0.32666666666666666,0.305,0.32666666666666666,,,0.0,0.0,0.0,0.0,0
0.5,3,recency,192,8,0.0,600,0.42333333333333334,0.435,0.4213197969543147,0.5555555555555556,0.4229136604136604,0.9333333333333333,0.9323181049069373,0.015,7.64,192
0.5,3,random,192,8,0.0,600,0.43166666666666664,0.465,0.42470389170896783,0.8888888888888888,0.4109187109187109,0.9333333333333333,0.9323181049069373,0.015,7.64,192
0.5,3,semantic,192,8,0.0,600,0.5666666666666667,0.61,0.5462633451957295,0.868421052631579,0.48604497354497356,0.9566666666666667,0.9537366548042705,0.06333333333333334,7.64,192
0.5,3,kmeans,192,8,0.0,600,0.53,0.61,0.5071174377224199,0.868421052631579,0.47973184223184223,0.9583333333333334,0.9555160142348754,0.06333333333333334,7.64,192
0.5,3,oracle,192,8,0.0,600,0.935,0.975,0.9306049822064056,1.0,1.0,0.9016666666666666,0.895017793594306,0.06333333333333334,3.3583333333333334,192
0.5,4,nomemory,192,8,0.0,600,0.34833333333333333,0.355,0.34833333333333333,,,0.0,0.0,0.0,0.0,0
0.5,4,recency,192,8,0.0,600,0.43166666666666664,0.42,0.4271186440677966,0.7,0.3877104377104377,0.9266666666666666,0.9254237288135593,0.016666666666666666,7.64,192
0.5,4,random,192,8,0.0,600,0.4266666666666667,0.465,0.4227504244482173,0.6363636363636364,0.3866582491582492,0.9116666666666666,0.9100169779286927,0.018333333333333333,7.64,192
0.5,4,semantic,192,8,0.0,600,0.5383333333333333,0.6,0.5249110320284698,0.7368421052631579,0.45042087542087544,0.9383333333333334,0.9341637010676157,0.06333333333333334,7.64,192
0.5,4,kmeans,192,8,0.0,600,0.52,0.54,0.505338078291815,0.7368421052631579,0.4476851851851852,0.9366666666666666,0.9323843416370107,0.06333333333333334,7.64,192
0.5,4,oracle,192,8,0.0,600,0.945,1.0,0.9412811387900356,1.0,1.0,0.9183333333333333,0.9128113879003559,0.06333333333333334,3.2533333333333334,192
1.0,0,nomemory,192,8,0.0,600,0.33166666666666667,0.315,0.33166666666666667,,,0.0,0.0,0.0,0.0,0
1.0,0,recency,192,8,0.0,600,0.45,0.48,0.44501718213058417,0.6111111111111112,0.40109026775693446,0.9333333333333333,0.9312714776632303,0.03,7.64,192
1.0,0,random,192,8,0.0,600,0.43666666666666665,0.45,0.4308231173380035,0.5517241379310345,0.39688151354818024,0.935,0.9316987740805605,0.04833333333333333,7.64,192
1.0,0,semantic,192,8,0.0,600,0.6816666666666666,0.765,0.668,0.75,0.5799623216289883,0.965,0.958,0.16666666666666666,7.64,192
1.0,0,kmeans,192,8,0.0,600,0.655,0.715,0.63,0.78,0.5980599647266315,0.9633333333333334,0.956,0.16666666666666666,7.64,192
1.0,0,oracle,192,8,0.0,600,0.9433333333333334,0.99,0.932,1.0,1.0,0.9133333333333333,0.896,0.16666666666666666,3.3066666666666666,192
1.0,1,nomemory,192,8,0.0,600,0.35,0.335,0.35,,,0.0,0.0,0.0,0.0,0
1.0,1,recency,192,8,0.0,600,0.38333333333333336,0.42,0.37455197132616486,0.5,0.3605739939073272,0.9366666666666666,0.931899641577061,0.07,7.64,192
1.0,1,random,192,8,0.0,600,0.36666666666666664,0.415,0.3626760563380282,0.4375,0.3502625460958794,0.9216666666666666,0.9172535211267606,0.05333333333333334,7.64,192
1.0,1,semantic,192,8,0.0,600,0.6716666666666666,0.765,0.6283924843423799,0.8429752066115702,0.5625941959275292,0.9633333333333334,0.954070981210856,0.20166666666666666,7.64,192
1.0,1,kmeans,192,8,0.0,600,0.6433333333333333,0.71,0.6033402922755741,0.8016528925619835,0.5684864518197851,0.9633333333333334,0.954070981210856,0.20166666666666666,7.64,192
1.0,1,oracle,192,8,0.0,600,0.9433333333333334,0.99,0.9290187891440501,1.0,1.0,0.9083333333333333,0.8851774530271399,0.20166666666666666,3.256666666666667,192
1.0,2,nomemory,192,8,0.0,600,0.32,0.34,0.32,,,0.0,0.0,0.0,0.0,0
1.0,2,recency,192,8,0.0,600,0.445,0.395,0.4381625441696113,0.5588235294117647,0.40092793009459676,0.925,0.9204946996466431,0.056666666666666664,7.64,192
1.0,2,random,192,8,0.0,600,0.41833333333333333,0.4,0.415061295971979,0.4827586206896552,0.3893538560205227,0.935,0.9316987740805605,0.04833333333333333,7.64,192
1.0,2,semantic,192,8,0.0,600,0.7016666666666667,0.785,0.6673553719008265,0.8448275862068966,0.5747494789161456,0.9666666666666667,0.9586776859504132,0.19333333333333333,7.64,192
1.0,2,kmeans,192,8,0.0,600,0.6466666666666666,0.755,0.6136363636363636,0.7844827586206896,0.5899009940676607,0.9583333333333334,0.9483471074380165,0.19333333333333333,7.64,192
1.0,2,oracle,192,8,0.0,600,0.9333333333333333,0.995,0.9175257731958762,1.0,1.0,0.9,0.8762886597938144,0.19166666666666668,3.388333333333333,192
1.0,3,nomemory,192,8,0.0,600,0.335,0.33,0.335,,,0.0,0.0,0.0,0.0,0
1.0,3,recency,192,8,0.0,600,0.44,0.405,0.43416370106761565,0.5263157894736842,0.42132435465768797,0.9433333333333334,0.9395017793594306,0.06333333333333334,7.64,192
1.0,3,random,192,8,0.0,600,0.43833333333333335,0.41,0.42397137745974955,0.6341463414634146,0.4206930415263748,0.945,0.9409660107334525,0.06833333333333333,7.64,192
1.0,3,semantic,192,8,0.0,600,0.6966666666666667,0.8,0.6687898089171974,0.7984496124031008,0.583361391694725,0.9716666666666667,0.9639065817409767,0.215,7.64,192
1.0,3,kmeans,192,8,0.0,600,0.6316666666666667,0.72,0.6157112526539278,0.689922480620155,0.5827300785634119,0.9666666666666667,0.9575371549893843,0.215,7.64,192
1.0,3,oracle,192,8,0.0,600,0.9433333333333334,0.985,0.9278131634819533,1.0,1.0,0.915,0.89171974522293,0.215,3.4066666666666667,192
1.0,4,nomemory,192,8,0.0,600,0.3516666666666667,0.38,0.3516666666666667,,,0.0,0.0,0.0,0.0,0
1.0,4,recency,192,8,0.0,600,0.36666666666666664,0.38,0.35929203539823007,0.4857142857142857,0.37774170274170277,0.935,0.9309734513274336,0.058333333333333334,7.64,192
1.0,4,random,192,8,0.0,600,0.415,0.425,0.398576512455516,0.6578947368421053,0.38342352092352094,0.93,0.9252669039145908,0.06333333333333334,7.64,192
1.0,4,semantic,192,8,0.0,600,0.6916666666666667,0.715,0.6546610169491526,0.828125,0.5717652717652718,0.9666666666666667,0.9576271186440678,0.21333333333333335,7.64,192
1.0,4,kmeans,192,8,0.0,600,0.6316666666666667,0.71,0.5911016949152542,0.78125,0.5896524771524772,0.9633333333333334,0.9533898305084746,0.21333333333333335,7.64,192
1.0,4,oracle,192,8,0.0,600,0.94,0.99,0.9238900634249472,1.0,1.0,0.9066666666666666,0.8816067653276956,0.21166666666666667,3.308333333333333,192
